Text,Class
"@EvgenyFeldman да-а без срока давности и сколько их?теперь удерживаемым или преследуемым,им тоже помилование просить?а то Дума не применять(",2
"@blondawolf А сколько у Вас, стесняюсь спросить? 😊",0
мне не комфортно :(,2
"@iamastepp вроде да, нормально себя чувствую, ты как?",0
@lia___kim Пока ты спишь???????????,0
"Зима — то время года, когда люди должны согревать друг друга.(((((((",2
"RT @ovsyanki666: я не хочу идти на десятую встречу выпускников. все увидят, какое я дно :|",2
"@Yatsenyuk_AP Сеня, мы тебя помним;)",1
"ну всё, а теперь я спать 😗✌",0
Марс станет ближе. Какими планетами земляне будут любоваться в 2020 году https://t.co/6fTbUpgop9 https://t.co/hQr0cjWf8k,0
@morisskaa он с каждым годом всё прекраснее и прекраснее🤧,1
"всё таки хана на экзамене будет((
""@ExoticKM: строка для @muda__china_ с:
Внутри дома кто-то резко отдавал приказы, словно коротко лаял.""",2
@kami_stay @ilurhgs в амонге нельзя смайлики ставить,0
"Единственная любовь, которая не причиняет боли - любовь к аллаху)) http://t.co/fmhZ9Dsfix",1
"@Serg_Chu Серже, с днем рождения!!! Что брат в твой день случилось? Не томи! И сколько раз я тебя отвадил от графини...:-))Доброго здоровья!",1
Михаил Мишустин: меры по борьбе с коронавирусом в России были своевременные и правильные  https://t.co/bYMCUoZDMk,0
"7 школа, дошел слух, что и у вас там ничего не грузится)",1
"@puijjung о, у бабули кот, когда был маленький, тоже ее так будил и требовал еду, покусывая за нос 😁",1
"У каждой девушки должен быть свой Кевин из Великобритании для того, чтобы помогать ей в изучении английского :)",1
"вот это сон. 
я, конечно, могла бы поделиться им с @po_odnomu_suki, как в прошлый раз, но нет. это слишком.",2
@lop_lollypop Они всё в биноклях не поэтому ходят ?,0
@chertovka00 давай угадаю - айфон?,0
"@dean35111 чем больше ты этого хочешь, тем больше мне опять хочется тебя мучить и говорить нет))",1
@BitchesBrian Ну бля....посиди в телефоне там...,2
"А это нормально, обвинять в мизогинии женщин, которые не хотят использовать феминитивы?",2
@lIl__muna__ @paralelogram_ Что тебе кости то сделали....,2
я выучу эту песню. https://t.co/YNkb52l5uR,0
Пиздец. За анатомию меня ещё не унижали...,2
"RT @dgbhdnyrhs: А потом у мужа дома мы начали беситься под гринов, и я упал, да так, что почти через голову перекувыркнулся :D",1
@Teffi666_666 Давайте. Я бы хотела так сделать,1
"Уснула вчера в 9 и все равно проспала,какая я ненасытная))",1
@frsmth раз ты ешь рыбу и если мы когда-нибудь встретимся я приготовлю тебе молоки и пузырь будешь первооткрывателем 🥰🥰🥰🥰🥰🥰,1
Из кого мультика сбежал ? https://t.co/KcC66UOif4,0
"В общаге всегда весело. Играли в карты на желание,разнимали девочек в жестокой драке,сидели угорали,играли в контру...но завтра на пары:(",2
@Khabiroff Чтобы было больше поводов оплатить доп.услугу,0
"Почему я раньше не знала о группе ""Сансара""?Узнала вчера на разогреве.Их никто не слушает?Вокалист офигенно шепелявит!И музыка как я люблю)",1
@Romuald_0000 А в чем радость?,0
"терапевт сказал,что я космическое,сказочное существо)мудрят уже целой командой врачей над моим диагнозом)чувствую героиней ""доктора хауза"")",1
@Nekaleks @pfc_cska 5 августа - сегодня и продажи онлайн не открыты,0
"я афигел с того, что сегодня уже пятница",0
"Задаем вопросы, интересующий вас конечно*) / http://t.co/2ocfG8p7hJ http://t.co/3NsxoQglSg",1
"Вчера играла на гитаре« реквием по мечте»,палец на левой руке болит капец(",2
RT @ChristyCockcrof: У Софии Коппола крутой стиль :(,2
"Иногда стоит помнить, что у девушек тоже хорошая память :D",1
@dee_kej Я БУДУ ЖДАТЬ НЕИСТОВО!!!!!!!!!!!!!!!!!!!!,1
"Опять приходиться в свободное время занимать сном, ночами не спится! :|",2
"@Alyosha_vatobot @alexander_vt Зачем, наезжать на своего?Его внешний вид,это его личное дело.",2
"Скончались еще два кыргызстанца, заразившихся коронавирусом. Всего — четыре https://t.co/vUfKH3Bvxd",2
@umnokisa Как-то там страшно хх),2
Окна ПОБЕДЫ! https://t.co/Q2CaVTtUTp,1
RT @karrimov: Уругвай полностью легализовал марихуану. Его жители на фото явно радуются) http://t.co/Qt6FjldEr0,1
"Подборка о том, как медиа используют женщин) http://t.co/djBCljZHRC",1
@channelone_rus Вы ебанутые там в Москве?,2
@4u4a_by @yagudinofficial Алексей бесподобен ВСЕГДА. И точка! :)),1
"@AmGayStopp шо за скидки, на энергетик надеюсь???",1
@rosielllia Он мой главный биас в группе https://t.co/YgHtfFXG0Y,0
"@Vityzeva Юля, вот кому кому, а вам я бы с удовольствием влепил бы так же, и даже сильнее.",2
"@MBKhMedia Надеюсь, она лесбиянка без одной ноги, сидящая на тяжелых наркотиках? А то как-то политически некорректно будет",2
@AstraRU_SFW @veelzevulwa К тебе слишком далеко ехать :(,2
"пока у меня нет возможности, но я обязательно закончу 🖐🏻😔",2
"@artdor ты абсолютно прав! Варю все любят, только я как назло не имею сейчас возможности с ней быть - работа замордовала( но надеюсь пройдет",2
RT @AnnetaMur: @RicherLK с днем рождения дорогая ) всего самого тебе наилучшего ! Всегда улыбайся при любых обстоятельствах !),1
"@Apollonprekras1 @navalny Ага давай, пизди дальше",2
"гуглёж по остальным кинотеатрам из списка ничего не дал , извините :( ждём официальных заявлений",2
ЧТО БЛЯТЬ СТОЯТЬ НАХУЙ НИКАКОГО СУИЦИДА В МОЮ СМЕНУ https://t.co/hxgw5chYLZ,2
"@mashawannasay Маша, бояться нечего",1
"Разве остался хоть кто-то из наших девочек,кому сегодня не понравился Кулик :D",1
@norpadon @kieraweed @leva_levchenko Ну то есть хуевые люди создали хуевый рынок. Пойди сделай классный,2
@back_dead19 Из майнкрафта,0
@yooooooonie я думала его надо делать все время,0
@zhlznv я работал) или нужны действующие работники?,1
"Уже более 24 часов прошло, а меня все ещё не попустило толком. Надо завязывать, слишком стара стала(",2
"Ну понятно дело,читают не то что я пишу.А то что в затравку положено.Так это ничего и не меняет.Мух тоже на липкую ленту ловят.",2
@kamawanai_de Обязательно,0
@Russia_NC Это 2016 год https://t.co/Ox8uYcp3jy,0
"я: как же я люблю юки 
все: кого из https://t.co/yT58F9iYHm",1
"Сегодня 19 января! А на улице льёт как из ведра, нормально да?(((",2
"Но я спала всего часа 3 наверное, поэтому лягу сейчас ещё на часик😴",2
ок это круто слава богу осталась жива,1
"@KevanKenney @MTV REQUEST @dimash_official @MTV #FridayLivestream 
Димаш самый лучший певец в мире. https://t.co/ItkEHHHmoK",1
@Gansvind @Kasparov63 Я бы проще сказал: через жопу он её разыгрывает...,2
Русскоязычные твиттерские - это те люди ради которых хочется жить,1
"так обидно было,такое наплевательское отношение,ты даришь подарок со всей душой,а тебе на от*ебись дарят или вообще забывают((((",2
"@monakanna Они тоже разделяют. Между прочим, и Вас с Рождеством. Наши церковнослужители единственные не перевели календарь на григорианский(",2
"Сохранила себе кучу фоток ""на случай важных переговоров"" и не использую их, потому что нихуя у меня нет важных переговоров)",1
"Хорошо людям, которые ничего не делают . Никуда не торопятся, живут в свое удовольствие.
Жаль только, что чужое время не ценят",2
"да что вы знаете о том, что вы не знаете",0
@uminashimi ЭТО ТАК МИЛО МНЕ ЭТО НРАВИТСЯ АХАХАХАХАХ вау это забавно🤭🤭🤭,1
все признаки зимней меланхолии на лицо! теперь до самой весны этой хуйней страдать буду((,2
"я понимаю это жестоко по отношению к ней, праздник ведь, но я не могу:(",2
"Я рад, а сегодня #понедельник , вернее уже #вторник :)",1
"насколько целесообразным будет приклеитьна клей в к клавиатуре
а то я расхуячила её пздц",2
если человек полностью посмотрел наруто и великолепный век то это человек заслуживает огромную золотую медаль у меня все,0
"Тарифы ОСАГО станут более справедливыми https://t.co/lRNuQK48ba #ЮридическаяПомощь, #Коломна https://t.co/FlMK0FN9Wj",0
отражение атаки зомби. То есть в начале это были вполне шустрые зомби. Но :-) преодолев десяток километров от портала до,1
@Louis_Tomlinvso Завтра(12.10 если что) 21 будет,0
отдайте мне альбом прямо сейчас https://t.co/qcJYGUwW2f,0
"@__Egorka88 Не завтра, мб на выходных",0
@Zhannin123 Надеялся.,0
"@kpru Дафига... Люди, берегите свое здоровье",1
"не намазывайте на лицо зубную пасту
вот просто, не советую",0
"@AlievaValeria @ellinayanush я из окна вижу, а я дома сижу, кофе попила;)",1
овен и скорпион это что-то нереальное когда их закрывают в помещении,0
@guhkcabb ДА БЛИН СОНУ ПРОСТИ Я ПРОСТО САМА ТУДА НЕ ЗАХОДИЛА СТО ЛЕТ ИЗ-ЗА НЕХВАТКИ ВРЕМЕНИ,0
@VRSoloviev Скукочища! Я через час выключил! Такое ощущение поменяли сразу режиссёра и сценариста!(,2
"RT @StYarushin: Уровень:) самолет s7 летел прямым рейсом Москва-Новосибирск, залетел в Барнаул, высадил 2-х пассажиров и дальше. Колхоз ёоо…",1
Это победа. Суд признал карантин в Украине введён незаконно. https://t.co/b6IKTIxNqI через @YouTube,1
@lawfuIawful чего ты так рано подорвалась,0
"Я учусь математика, Я люблю блендер, я есть занимается",0
"@mad_harson И нельзя это так оставлять. Учитель должен учить, а не развивать комплексы в учениках.",2
"подруга зовет ответить её ДР в клубе
просто эм, я и клуб... 2 разные вещи ахаха)",1
@LesyaUA7Evropa Та ну.....,0
"@ff45667472 Россиянка, ставшая полькой, живёт в Канаде.....
П - постоянство, политической проституции.",2
"@pursetsky2 После прочтения ""tw"" человек перестает читать твит?",0
"Коечный фонд для пациентов с COVID-19 в Марий Эл занят на 78%

https://t.co/kHzAopCNTE",0
"Я настолько старпёр, что использовала сегодня слово «попурри» для описания видео.",0
нет,0
@M7dFvbfgKtVssLJ И те и те вкусные🤤,1
"@rekonya_twt 🙂🙂 - это не эмоджи, это моя жизнь",0
"@ru_rbc Да, криминал охуел и чо?!",2
"Лютый ебаный пиздец, да",2
"@Hoseok_sii 👀
Иди обниматься",1
представляете я люблю его так сильно https://t.co/EiMAoSJpRZ,1
"если всё получится с тренировками, то через 2 месяца скину плоский живот или ""до"" и ""после"" скриньте
появится мотивация",1
@ntvru Врёт как Путин.,2
"Сегодня на концерте с@Kriss_Rymi ждали награждение ""Динамо97""  ну мы же их знаем!!!:)))))",1
О господи искренне прошу прощения за все это мне было скучно https://t.co/8m8PfB0kos,1
@sokokinay Курочка была бы актуальнее,0
они даже в винкс собираются впихнуть порнуху ебучий случай,2
@MarisChocolate с Днём рождения! Всего наилучшего) будь счастлива:*,1
"Саш,правильно,не смотри в камеру!) А Лешка звезда)) ",1
"@ViktoriyaJuve Хз, но чувствую, что не айс. Оценки еще не поставили(",2
"@TW1N_P34KS Фууууууу, это наверное тот, что целую неделю валялся возле остановки((((",2
"@karinaWOLF01 слушаю на повторе мэйхуа и рыдаю 
учитывая о ком она и как закончилась эта история 
тот человек тоже ко многому стремился",2
Сладеньких снов всем кто увидит этот твит💫💙💫💙💫💙,1
"Она смотрела на вышку для связи ""МТС"" и думала что живет в Париже)",1
"RT @sofia14032002: @RainbowNANANA лол, а меня на ""затишье перед бурей"" ассоциации именно с этим фф :D я слишком слешер, простите меня за эт…",1
ЧЕЛЛЕНДЖ - ЭЛЕКРОБАЙК Мамы против ЭЛЕКТРОСАМОКАТОВ Дениса и Дианы https://t.co/gvbKxPRsbM через @YouTube,0
"@alicegoddess228 Орехи да, изюм ток в шоколадках/печеньках и тд",0
"@dashabelya не ной, ты всегда справлялась и этот год не будет исключением:-) :-)",1
Думаю временно не буду писать сюда ничего,0
@tothemoonandfuk Я бы всю жизнь на твои уроки ходила 🥺,1
@alinameshehe да,0
"этот год я встретил на Родине! Дал себе слово о том, что что бы не произошло, я всегда буду отмечать его дома! сижу в Питере пишу этот твит(",2
@gralxncer @ser_barnes ИЗ-ЗА ВОЛЕЙБОЛА ПОДУМАЛА ЧТО ЭТО КАК-ТО СВЯЗАНО С АСОМ,0
@litded Ты аккуратнее с молочкой. В взрослые года она не всегда хорошо усваивается. Я однажды из чудо кефира чуть было Усейн Болтом не стал,0
@SeanTaylorRu кажется я старей 🙃,2
@missdisasteer УЖААСССНОООО Я ЕЩЕ ДУМАЮ А ЧЕ ОНИ НА МЕНЯ ТАК СМОТРЯТ ВСЕ ПЛИЗ😔✊✊✊✊✊✊✊,2
Пиздец. https://t.co/QC1zBxgc5m,2
"@OlgaKlein Какой ужас ( какими надо быть людьми , что бы так по свински поступить!! Но нечего ,Олечка! Все равно вы самая Суперская!",2
@thaister_dima Заколебешься подниматься,2
Почему я чувствую себя идиоткой в этой ситуации?,2
Ученые обнаружили загадочные послания в тоннелях Мексики https://t.co/iBoycevavD,0
"@Kate_Unagi аххаахах ну ок, тогда жду тебя через 15 лет как ты сказала,
Хотяя...., неее не приходи,  я испугаюсь тебя:DD",1
Люблю жить без отеков)) чудесный день и настроение) вся вода утром сразу вышла,1
Мировые Новости • Почему в Великую Отечественную письма отправляли без конвертов https://t.co/uOSrzo7SGN,0
@powerpuffluvv я думала это все актрисы 😳,0
"RT @nefedkovaKE: @valinevichka не стоит благодарности!!!я же Богиня блять, должна помогать)))))):D",1
хехе: Хакера наказали за матерщину..обратите внимание на наказание)),1
скажите твиттер все еще говняно работает? просто я пока с браузера сижу,2
"Вступайте в группу о сериале ""Виолетта"") / Там Вы найдете много фактов,фото,новостей и т.д) / Вступайте) http://t.co/bpkVGXQKDB",1
"Быстрее-бы пролетели эти обыденные,вечно хмурые,рабочие месяцы.... / ..и навстречу к чудесному.) http://t.co/ANDGzTmN30",1
"А вас тоже бесит что вся ваша лента В ЭТОМ ?
И почитать нечего 
Меня это уже конкретно так бесить начинает https://t.co/uen5ukwHLD",2
Почему мне так везет??? Перелом смещается!!! До 10 января сидеть дома!!! Отличный нг чувствую будет ((((,2
@A_Artem_dyrak Моя фантазия сломалась поэтому я просто скину эмоджи 🐁,0
камбе дайске блять козерог ну какой водолей вы его вообще видели,2
@giustizio планировали высадить диверсантов в аэропортах Киева. Ну в это точно не поверят.,0
@favorite_walker Ты очень красивая! :),1
А у вас тоже так всегда что начинаешь дорожить и любить лишь тогда когда понимаешь что потеряла на всегда....обидно=( ,2
"пригласили сегодня утром в эфир местного телеканала. Лучшее,что я смогла придумать - проспать. Несмотря на сто тыщ будильников(",2
